Description,Quantity,TotalPrice,Price,NumInvoices,Cluster_KMeans,PCA1,PCA2,Cluster_GMM_Spherical,Cluster_DBSCAN_Best,Cluster_Label
10 colour spaceboy pen,5579,4634.51,0.854099099099099,202,1,2.838984440157013,-0.6480171914681314,1,0,Produits star/Best-Sellers
11 pc ceramic tea set polkadot,3,14.85,4.95,1,0,-3.171872373148209,0.5333743022273185,0,0,Produits Dormants
12 ass zinc christmas decorations,241,506.1000000000001,2.1,24,3,0.27015670117919605,-0.089541604364844,3,0,Produits de rotation moyenne
12 coloured party balloons,2056,1276.4,0.6454545454545455,100,1,1.8768017379130633,-0.9665972779210968,1,0,Produits star/Best-Sellers
12 daisy pegs in wood box,393,648.45,1.65,72,1,0.9633522503724379,-0.2589594826291847,3,0,Produits star/Best-Sellers
12 egg house painted wood,296,2942.0,12.520833333333334,60,2,0.9946431284990865,2.3112779706637054,2,0,Produits Premium
12 hanging eggs hand painted,10,20.799999999999997,2.08,1,0,-2.6633320454083416,-0.4468464157675131,0,0,Produits Dormants
12 ivory rose peg place settings,1322,1568.1399999999999,1.246346153846154,98,1,1.7481733346289334,-0.4513261053408109,1,0,Produits star/Best-Sellers
12 message cards with envelopes,1238,1946.7,1.6406040268456374,120,1,1.8513759051582286,-0.1699747590368037,1,0,Produits star/Best-Sellers
12 mini toadstool pegs,230,287.5,1.25,38,3,0.3224053328167665,-0.604606083901764,3,0,Produits de rotation moyenne
12 pencil small tube woodland,3343,2178.35,0.6546610169491526,208,1,2.486791218777664,-0.8791355235427684,1,0,Produits star/Best-Sellers
12 pencils small tube posy,270,175.5,0.65,24,3,0.08609742369104677,-1.1629992277166,3,0,Produits de rotation moyenne
12 pencils small tube red retrospot,5171,3302.35,0.6487179487179487,200,1,2.728166636158213,-0.8617926749932714,1,0,Produits star/Best-Sellers
12 pencils small tube red spotty,2894,1781.1,0.6483870967741936,116,1,2.141318331424679,-0.9353768169892208,1,0,Produits star/Best-Sellers
12 pencils small tube skull,6246,3859.5,0.6467105263157894,268,1,2.95360574922041,-0.8403191128234477,1,0,Produits star/Best-Sellers
12 pencils tall tube posy,2598,883.4999999999999,0.4606730769230769,96,1,1.8368668516024813,-1.2184068634175806,1,0,Produits star/Best-Sellers
12 pencils tall tube red retrospot,1574,1331.6599999999999,0.8490972222222222,124,1,1.879657866418041,-0.756952232709468,1,0,Produits star/Best-Sellers
12 pencils tall tube red spotty,1261,1046.8899999999999,0.8487378640776699,101,1,1.6555135061508441,-0.785786101965043,1,0,Produits star/Best-Sellers
12 pencils tall tube skulls,1948,1648.0,0.8487677725118483,189,1,2.182637584017861,-0.7200856222661953,1,0,Produits star/Best-Sellers
12 pencils tall tube woodland,2073,1712.1299999999999,0.8486528497409326,182,1,2.1971808005791713,-0.7221195753313877,1,0,Produits star/Best-Sellers
12 pink hen+chicks in basket,49,124.95,2.55,15,3,-0.8337678119739677,0.006346251845322273,0,0,Produits de rotation moyenne
12 pink rose peg place settings,912,1057.92,1.2462745098039216,47,1,1.2159755570636588,-0.5192739836213691,1,0,Produits star/Best-Sellers
12 red rose peg place settings,451,563.75,1.25,74,3,1.0000178182040675,-0.524936173509334,3,0,Produits de rotation moyenne
15 pink fluffy chicks in box,13,38.35,2.95,10,0,-1.7424305276009913,0.07299008169562815,0,0,Produits Dormants
15cm christmas glass ball 20 lights,1178,8763.1,7.781858407079646,204,1,2.315740771330514,1.809075645214404,1,0,Produits star/Best-Sellers
16 piece cutlery set pantry design,103,1477.25,15.518749999999999,16,2,-0.09380970791268482,2.514038505086122,2,0,Produits Premium
18pc wooden cutlery set disposable,87,108.75,1.25,7,3,-0.920232451111209,-0.7554586128603733,3,0,Produits de rotation moyenne
2 daisies hair comb,12,35.400000000000006,2.95,2,0,-2.3294265371936076,-0.005352349739492451,0,0,Produits Dormants
2 picture book eggs easter bunny,516,480.0,1.228,25,3,0.5512549613434207,-0.6365732178823814,3,0,Produits de rotation moyenne
2 picture book eggs easter chicks,493,451.25,1.2238095238095237,21,3,0.4495939591319689,-0.6540943605834522,3,0,Produits de rotation moyenne
2 picture book eggs easter ducks,464,415.0,1.2225,20,3,0.38674467392807316,-0.6650610537350434,3,0,Produits de rotation moyenne
20 dolly pegs retrospot,2798,3356.56,1.266504854368932,188,1,2.4717259299098395,-0.3526660068750348,1,0,Produits star/Best-Sellers
200 bendy skull straws,534,599.1,1.2302083333333333,44,3,0.8574727678596787,-0.5725181154883395,3,0,Produits de rotation moyenne
200 red + white bendy straws,791,947.71,1.245839416058394,121,1,1.5285617682821482,-0.47109730913725834,1,0,Produits star/Best-Sellers
24 hanging easter eggs floral tub,383,1263.45,3.7309523809523806,39,1,0.8122549841223246,0.6382387249805413,1,0,Produits star/Best-Sellers
3 black cats w hearts blank card,1,0.19,0.19,1,0,-3.901632031741133,-2.0967521351677623,0,0,Produits Dormants
3 drawer antique white wood cabinet,305,2641.43,8.956153846153844,77,2,1.1241112060955167,1.8706228721102587,2,0,Produits Premium
3 gardenia morris boxed candles,334,1142.42,3.697843137254902,45,1,0.8002360385028696,0.6330930621361903,1,0,Produits star/Best-Sellers
3 hearts hanging decoration rustic,3297,9293.79,2.945871886120997,241,1,2.84252420180299,0.594357677732853,1,0,Produits star/Best-Sellers
3 hook hanger magic garden,1020,1841.3999999999999,1.9227272727272726,51,1,1.4081163928923988,-0.06378159225212579,1,0,Produits star/Best-Sellers
3 hook photo shelf antique white,961,7465.68,8.415892857142858,214,1,2.214371680537868,1.9045978830983463,1,0,Produits star/Best-Sellers
